name,formatted_address,latitud,longitud,Schedule,rating,types
Clínica Veterinaria La Cuesta,"Soriana, Av. Tecnológico 5311-Int. 31, La Cuesta, 32650 Cd Juárez, Chih., Mexico",31.677204,-106.425923,"Lunes: 10:00 AM – 6:00 PM, Martes: 10:00 AM – 6:00 PM, Miércoles: 10:00 AM – 6:00 PM, Jueves: 10:00 AM – 6:00 PM, Viernes: 10:00 AM – 6:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 4:00 PM, ",4.3,Servicios veterinarios para mascotas 
Las Misiones Clínica Veterinaria,"Fuente de Verona 7517, Jardines del Lago, 32616 Cd Juárez, Chih., Mexico",31.6866578,-106.4169897,"Lunes: 8:00 AM – 8:00 PM, Martes: 8:00 AM – 8:00 PM, Miércoles: 8:00 AM – 8:00 PM, Jueves: 8:00 AM – 8:00 PM, Viernes: 8:00 AM – 8:00 PM, Sabado: 8:00 AM – 8:00 PM, Domingo: 9:00 AM – 5:00 PM, ",5,Servicios veterinarios para mascotas 
Samaniego Vet,"Sierra Morena 5549, La Cuesta II, Cd Juárez, Chih., Mexico",31.6736619,-106.4264954,,null,Servicios veterinarios para mascotas 
Veteridog,"Av. Prof. R. Rivera Lara 7409, Jardines Residencial, Las Acequias, Cd Juárez, Chih., Mexico",31.6909809,-106.4172972,,null,Servicios veterinarios para mascotas 
Centro Medico Veterinario,"Blvd. Oscar Flores 5175, La Cuesta, 32650 Cd Juárez, Chih., Mexico",31.6804951,-106.4373757,"Lunes: 10:00 AM – 8:00 PM, Martes: 10:00 AM – 8:00 PM, Miércoles: 10:00 AM – 8:00 PM, Jueves: 10:00 AM – 8:00 PM, Viernes: 10:00 AM – 8:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 2:00 PM, ",4.5,Servicios veterinarios para mascotas 
VetDelreal,"Prolongacion Morelia, Partido Iglesias, 32528 Cd Juárez, Chih., Mexico",31.6735366,-106.4167473,"Lunes: 9:00 AM – 6:00 PM, Martes: 9:00 AM – 6:00 PM, Miércoles: 9:00 AM – 6:00 PM, Jueves: 9:00 AM – 6:00 PM, Viernes: 9:00 AM – 6:00 PM, Sabado: 9:00 AM – 6:00 PM, Domingo: Closed, ",5,Servicios veterinarios para mascotas 
Veterinaria Anubis,"Iztaccíhuatl 5512, Del Real, 32663 Cd Juárez, Chih., Mexico",31.6733068,-106.4161769,"Lunes: 10:00 AM – 6:00 PM, Martes: 10:00 AM – 6:00 PM, Miércoles: 10:00 AM – 6:00 PM, Jueves: 10:00 AM – 6:00 PM, Viernes: 10:00 AM – 6:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: 10:00 AM – 3:00 PM, ",4.9,Servicios veterinarios para mascotas 
Consultorio veterinario,"C. Sierra de Córdova 5683, La Cuesta II, Cd Juárez, Chih., Mexico",31.6712781,-106.4286842,"Lunes: 10:00 AM – 7:00 PM, Martes: 10:00 AM – 7:00 PM, Miércoles: 10:00 AM – 7:00 PM, Jueves: 10:00 AM – 7:00 PM, Viernes: 10:00 AM – 7:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: Closed, ",5,Servicios veterinarios para mascotas 
CLINICA VETERINARIA SAMANIEGO,"C. Sierra de Córdova 5683, La Cuesta, 32650 Cd Juárez, Chih., Mexico",31.6712565,-106.4287398,"Lunes: 9:00 AM – 7:00 PM, Martes: 9:00 AM – 7:00 PM, Miércoles: 9:00 AM – 7:00 PM, Jueves: 9:00 AM – 7:00 PM, Viernes: 9:00 AM – 7:00 PM, Sabado: 9:00 AM – 7:00 PM, Domingo: Closed, ",null,Servicios veterinarios para mascotas 
Veterinaria PENNY-PETS,"Calle, Prados Sta Anita 7826, Prados Santa Anita, 32664 Cd Juárez, Chih., Mexico",31.6759213,-106.4112988,"Lunes: 10:00 AM – 6:00 PM, Martes: 10:00 AM – 6:00 PM, Miércoles: 10:09 AM – 6:00 PM, Jueves: 10:00 AM – 6:00 PM, Viernes: 10:00 AM – 6:00 PM, Sabado: 10:00 AM – 6:00 PM, Domingo: Closed, ",4.9,Servicios veterinarios para mascotas 
Marvet,"32605, Tequisquiapan 234, Santa Teresa, 32605 Cd Juárez, Chih., Mexico",31.6960539,-106.4297438,"Lunes: 9:30 AM – 7:00 PM, Martes: 9:30 AM – 7:00 PM, Miércoles: 9:30 AM – 7:00 PM, Jueves: 9:30 AM – 7:00 PM, Viernes: 9:30 AM – 7:00 PM, Sabado: 9:30 AM – 7:00 PM, Domingo: Closed, ",4.3,Servicios veterinarios para mascotas 
ECOPET Clinica Y Farmacia Veterinaria,"Avenida M. J. Clouthier 7281, Del Real, Cd Juárez, Chih., Mexico",31.669125,-106.4181584,"Lunes: 9:00 AM – 5:00 PM, Martes: 9:00 AM – 5:00 PM, Miércoles: 9:00 AM – 5:00 PM, Jueves: 9:00 AM – 5:00 PM, Viernes: Closed, Sabado: 10:00 AM – 5:00 PM, Domingo: Closed, ",4.6,Servicios veterinarios para mascotas 
Minizoo Hospital,"Blvd. Oscar Flores 5553, La Cuesta II, 32650 Cd Juárez, Chih., Mexico",31.674015,-106.439125,"Lunes: Abierto las 24 horas, Martes: Abierto las 24 horas, Miércoles: Open 24 hours, Jueves: Open 24 hours, Viernes: Open 24 hours, Sabado: Open 24 hours, Domingo: Open 24 hours, ",4.5,Servicios veterinarios para mascotas 
